Model,Accuracy,Precision,Recall,F1
Persistence,0.5018315018315018,0.5593952483801296,0.5593952483801296,0.5593952483801296
Majority Class,0.5653235653235653,0.5653235653235653,1.0,0.7223088923556942
Raw Logistic Regression,0.5128205128205128,0.5586080586080586,0.6587473002159827,0.6045589692765114
